refinementIterations,outcome,n,missing,mean,standardDeviation,median,q1,q3,iqr,minimum,maximum
2,totalAIGenerationDurationMs,6,0,63590.333333333336,12267.645815993657,63392.5,53574.5,71721.75,18147.25,49472,80485
2,totalPromptTokens,6,0,9954.166666666666,1056.7897457236547,9330.0,9265.75,10605.5,1339.75,9209,11581
2,totalOutputTokens,6,0,8734.0,1263.6749582072123,8104.0,7916.0,9272.25,1356.25,7766,10915
2,totalTokens,6,0,18688.166666666668,2310.300189730042,17434.0,17141.25,19877.75,2736.5,17029,22496
1,totalAIGenerationDurationMs,23,0,44460.260869565216,9711.499360960936,44246.0,36656.5,48388.0,11731.5,31997,72159
1,totalPromptTokens,23,0,5388.695652173913,579.7148542628216,5128.0,4966.5,6018.5,1052.0,4546,6327
1,totalOutputTokens,23,0,5891.304347826087,762.1127591816777,5564.0,5377.0,6476.5,1099.5,4799,7286
1,totalTokens,23,0,11280.0,1319.4931878290515,10624.0,10374.5,12442.0,2067.5,9345,13556
0,totalAIGenerationDurationMs,1,0,27947.0,,27947.0,27947.0,27947.0,0.0,27947,27947
0,totalPromptTokens,1,0,734.0,,734.0,734.0,734.0,0.0,734,734
0,totalOutputTokens,1,0,2822.0,,2822.0,2822.0,2822.0,0.0,2822,2822
0,totalTokens,1,0,3556.0,,3556.0,3556.0,3556.0,0.0,3556,3556
