specificationId,outcome,n,missing,mean,standardDeviation,median,q1,q3,iqr,minimum,maximum
todo,aiGenerationDurationMs,30,0,30318.533333333333,14042.569157149746,24901.5,19135.0,37257.25,18122.25,15604.0,60542.0
todo,finalAccessibilityIncomplete,30,0,0.8333333333333334,0.6477192523656045,1.0,0.0,1.0,1.0,0.0,2.0
todo,finalAccessibilityViolatingNodes,30,0,0.5333333333333333,1.1366415543118709,0.0,0.0,0.75,0.75,0.0,5.0
todo,finalAccessibilityViolations,30,0,0.26666666666666666,0.44977644510880366,0.0,0.0,0.75,0.75,0.0,1.0
todo,finalFunctionalFailedTests,30,0,0.16666666666666666,0.9128709291752769,0.0,0.0,0.0,0.0,0.0,5.0
todo,finalFunctionalPassRate,30,0,0.9722222222222221,0.15214515486254618,1.0,1.0,1.0,0.0,0.1666666666666666,1.0
todo,finalFunctionalPassedTests,30,0,5.833333333333333,0.9128709291752769,6.0,6.0,6.0,0.0,1.0,6.0
todo,finalStaticErrors,30,0,0.06666666666666667,0.3651483716701107,0.0,0.0,0.0,0.0,0.0,2.0
todo,finalStaticTotalIssues,30,0,0.06666666666666667,0.3651483716701107,0.0,0.0,0.0,0.0,0.0,2.0
todo,finalStaticWarnings,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
todo,pipelineOverheadMs,30,0,4853.6,3357.745154733743,3987.5,2065.75,7112.5,5046.75,1939.0,16937.0
todo,totalOutputTokens,30,0,3621.9333333333334,1455.8957885530258,2808.5,2711.25,5026.25,2315.0,2440.0,7937.0
todo,totalPromptTokens,30,0,2209.733333333333,2301.517309610506,897.0,734.0,4712.5,3978.5,734.0,9274.0
todo,totalTokens,30,0,5831.666666666667,3752.545410447589,3666.5,3530.25,9808.5,6278.25,3174.0,17211.0
todo,workflowDurationMs,30,0,35172.13333333333,15740.50935891723,30629.5,21095.5,44321.25,23225.75,18208.0,71573.0
quiz,aiGenerationDurationMs,30,0,27621.933333333334,14139.23351074111,20613.5,18374.5,34232.0,15857.5,15660.0,73548.0
quiz,finalAccessibilityIncomplete,30,0,0.7,0.534983080621924,1.0,0.0,1.0,1.0,0.0,2.0
quiz,finalAccessibilityViolatingNodes,30,0,1.6,2.749294580370604,0.0,0.0,2.75,2.75,0.0,8.0
quiz,finalAccessibilityViolations,30,0,0.36666666666666664,0.6149478998583782,0.0,0.0,1.0,1.0,0.0,2.0
quiz,finalFunctionalFailedTests,30,0,0.1,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,3.0
quiz,finalFunctionalPassRate,30,0,0.9857142857142857,0.07824607964359517,1.0,1.0,1.0,0.0,0.5714285714285714,1.0
quiz,finalFunctionalPassedTests,30,0,6.9,0.5477225575051661,7.0,7.0,7.0,0.0,4.0,7.0
quiz,finalStaticErrors,30,0,0.23333333333333334,0.4301830671520762,0.0,0.0,0.0,0.0,0.0,1.0
quiz,finalStaticTotalIssues,30,0,0.23333333333333334,0.4301830671520762,0.0,0.0,0.0,0.0,0.0,1.0
quiz,finalStaticWarnings,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quiz,pipelineOverheadMs,30,0,3677.766666666667,1920.4927471755843,2791.5,2224.0,4877.0,2653.0,2115.0,8429.0
quiz,totalOutputTokens,30,0,3794.766666666667,1859.282002378288,2708.5,2624.0,5294.5,2670.5,2059.0,8271.0
quiz,totalPromptTokens,30,0,2643.4666666666667,2861.914788646102,906.0,743.0,4876.75,4133.75,743.0,9386.0
quiz,totalTokens,30,0,6438.233333333334,4711.520493160489,3562.5,3441.5,10310.0,6868.5,2802.0,17657.0
quiz,workflowDurationMs,30,0,31299.7,15904.343469089146,23257.5,20667.0,39109.0,18442.0,17882.0,81205.0
booking,aiGenerationDurationMs,30,0,39943.2,19339.5246783939,31160.5,25495.75,48155.75,22660.0,19224.0,95302.0
booking,finalAccessibilityIncomplete,30,0,0.6666666666666666,0.4794633014853841,1.0,0.0,1.0,1.0,0.0,1.0
booking,finalAccessibilityViolatingNodes,30,0,1.7333333333333334,3.0730568105584286,0.0,0.0,3.75,3.75,0.0,13.0
booking,finalAccessibilityViolations,30,0,0.3333333333333333,0.47946330148538413,0.0,0.0,1.0,1.0,0.0,1.0
booking,finalFunctionalFailedTests,30,0,0.16666666666666666,0.7466399831028447,0.0,0.0,0.0,0.0,0.0,4.0
booking,finalFunctionalPassRate,30,0,0.9814814814814815,0.08295999812253828,1.0,1.0,1.0,0.0,0.5555555555555556,1.0
booking,finalFunctionalPassedTests,30,0,8.833333333333334,0.7466399831028446,9.0,9.0,9.0,0.0,5.0,9.0
booking,finalStaticErrors,30,0,1.1,1.1249521062602224,1.0,0.0,2.0,2.0,0.0,3.0
booking,finalStaticTotalIssues,30,0,1.4,1.2757688689165259,1.0,0.0,2.75,2.75,0.0,4.0
booking,finalStaticWarnings,30,0,0.3,0.466091599699399,0.0,0.0,1.0,1.0,0.0,1.0
booking,pipelineOverheadMs,30,0,5151.9,4334.640376842319,3496.5,2494.5,5971.5,3477.0,2346.0,22190.0
booking,totalOutputTokens,30,0,4687.833333333333,2205.2627661610063,3392.5,3203.0,6493.75,3290.75,2910.0,10915.0
booking,totalPromptTokens,30,0,2971.766666666667,3250.43059941436,959.0,796.0,6044.25,5248.25,796.0,11581.0
booking,totalTokens,30,0,7659.6,5442.997415851446,4304.0,4039.75,12511.5,8471.75,3869.0,22496.0
booking,workflowDurationMs,30,0,45095.1,21583.438840047453,37840.0,27957.25,54415.75,26458.5,21660.0,102675.0
