workflow,outcome,n,missing,mean,standardDeviation,median,q1,q3,iqr,minimum,maximum
one-shot,aiGenerationDurationMs,30,0,25235.233333333334,9890.911476715879,23721.5,18501.75,27820.25,9318.5,15604.0,55982.0
one-shot,finalAccessibilityIncomplete,30,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
one-shot,finalAccessibilityViolatingNodes,30,0,3.8666666666666667,2.979624291675081,3.5,2.0,5.0,3.0,0.0,13.0
one-shot,finalAccessibilityViolations,30,0,0.9666666666666667,0.41384099339733366,1.0,1.0,1.0,0.0,0.0,2.0
one-shot,finalFunctionalFailedTests,30,0,0.13333333333333333,0.7302967433402213,0.0,0.0,0.0,0.0,0.0,4.0
one-shot,finalFunctionalPassRate,30,0,0.9851851851851853,0.08114408259335792,1.0,1.0,1.0,0.0,0.5555555555555556,1.0
one-shot,finalFunctionalPassedTests,30,0,7.2,1.2972118642263706,7.0,6.0,9.0,3.0,5.0,9.0
one-shot,finalStaticErrors,30,0,0.8666666666666667,1.0416609195243758,1.0,0.0,1.0,1.0,0.0,3.0
one-shot,finalStaticTotalIssues,30,0,0.9666666666666667,1.188546876720022,1.0,0.0,1.0,1.0,0.0,4.0
one-shot,finalStaticWarnings,30,0,0.1,0.30512857662936466,0.0,0.0,0.0,0.0,0.0,1.0
one-shot,pipelineOverheadMs,30,0,3597.0,2233.6876267269568,3121.5,2636.25,3628.5,992.25,2116.0,14937.0
one-shot,totalOutputTokens,30,0,2906.866666666667,402.8976710448117,2757.0,2641.0,3203.0,562.0,2059.0,3969.0
one-shot,totalPromptTokens,30,0,757.6666666666666,27.82126863580716,743.0,734.0,796.0,62.0,734.0,796.0
one-shot,totalTokens,30,0,3664.5333333333333,426.6172259429574,3495.5,3381.0,3999.0,618.0,2802.0,4765.0
one-shot,workflowDurationMs,30,0,28832.233333333334,10332.942928535307,27321.0,21360.0,31480.75,10120.75,18208.0,60445.0
quality-focused,aiGenerationDurationMs,30,0,24912.6,15308.457091560138,19957.0,18959.25,24589.0,5629.75,15660.0,95302.0
quality-focused,finalAccessibilityIncomplete,30,0,0.03333333333333333,0.18257418583505533,0.0,0.0,0.0,0.0,0.0,1.0
quality-focused,finalAccessibilityViolatingNodes,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality-focused,finalAccessibilityViolations,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality-focused,finalFunctionalFailedTests,30,0,0.3,1.0553639672872464,0.0,0.0,0.0,0.0,0.0,5.0
quality-focused,finalFunctionalPassRate,30,0,0.9542328042328042,0.16893423598964638,1.0,1.0,1.0,0.0,0.1666666666666666,1.0
quality-focused,finalFunctionalPassedTests,30,0,7.033333333333333,1.7710961603468633,7.0,6.0,9.0,3.0,1.0,9.0
quality-focused,finalStaticErrors,30,0,0.5333333333333333,0.8603661343041525,0.0,0.0,1.0,1.0,0.0,3.0
quality-focused,finalStaticTotalIssues,30,0,0.7333333333333333,1.0482607379429238,0.0,0.0,1.0,1.0,0.0,3.0
quality-focused,finalStaticWarnings,30,0,0.2,0.4068381021724863,0.0,0.0,0.0,0.0,0.0,1.0
quality-focused,pipelineOverheadMs,30,0,2767.8333333333335,2712.5253799331736,2172.5,2065.75,2404.75,339.0,1939.0,16937.0
quality-focused,totalOutputTokens,30,0,2840.133333333333,304.96147109196386,2792.5,2668.0,3038.75,370.75,2065.0,3468.0
quality-focused,totalPromptTokens,30,0,920.6666666666666,27.82126863580716,906.0,897.0,959.0,62.0,897.0,959.0
quality-focused,totalTokens,30,0,3760.8,326.18351086255217,3689.5,3574.0,3997.75,423.75,2971.0,4427.0
quality-focused,workflowDurationMs,30,0,27680.433333333334,15461.41075930059,22050.0,20963.5,27668.75,6705.25,17882.0,97829.0
automated-refinement,aiGenerationDurationMs,30,0,47735.833333333336,13096.368378119269,46899.5,36917.75,54265.25,17347.5,27947.0,80485.0
automated-refinement,finalAccessibilityIncomplete,30,0,1.1666666666666667,0.3790490217894517,1.0,1.0,1.0,0.0,1.0,2.0
automated-refinement,finalAccessibilityViolatingNodes,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automated-refinement,finalAccessibilityViolations,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automated-refinement,finalFunctionalFailedTests,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automated-refinement,finalFunctionalPassRate,30,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
automated-refinement,finalFunctionalPassedTests,30,0,7.333333333333333,1.2685406585123122,7.0,6.0,9.0,3.0,6.0,9.0
automated-refinement,finalStaticErrors,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automated-refinement,finalStaticTotalIssues,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automated-refinement,finalStaticWarnings,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
