specificationId,workflow,outcome,passed,failed,total,percentagePassed
todo,one-shot,finalAccessibilityPassed,2,8,10,20.0
todo,one-shot,finalAllPassed,2,8,10,20.0
todo,one-shot,finalFunctionalPassed,10,0,10,100.0
todo,one-shot,finalRuntimePassed,10,0,10,100.0
todo,one-shot,finalStaticPassed,10,0,10,100.0
todo,quality-focused,finalAccessibilityPassed,10,0,10,100.0
todo,quality-focused,finalAllPassed,8,2,10,80.0
todo,quality-focused,finalFunctionalPassed,9,1,10,90.0
todo,quality-focused,finalRuntimePassed,10,0,10,100.0
todo,quality-focused,finalStaticPassed,9,1,10,90.0
todo,automated-refinement,finalAccessibilityPassed,10,0,10,100.0
todo,automated-refinement,finalAllPassed,10,0,10,100.0
todo,automated-refinement,finalFunctionalPassed,10,0,10,100.0
todo,automated-refinement,finalRuntimePassed,10,0,10,100.0
todo,automated-refinement,finalStaticPassed,10,0,10,100.0
quiz,one-shot,finalAccessibilityPassed,1,9,10,10.0
quiz,one-shot,finalAllPassed,0,10,10,0.0
quiz,one-shot,finalFunctionalPassed,10,0,10,100.0
quiz,one-shot,finalRuntimePassed,10,0,10,100.0
quiz,one-shot,finalStaticPassed,4,6,10,40.0
quiz,quality-focused,finalAccessibilityPassed,10,0,10,100.0
quiz,quality-focused,finalAllPassed,9,1,10,90.0
quiz,quality-focused,finalFunctionalPassed,9,1,10,90.0
quiz,quality-focused,finalRuntimePassed,9,1,10,90.0
quiz,quality-focused,finalStaticPassed,9,1,10,90.0
quiz,automated-refinement,finalAccessibilityPassed,10,0,10,100.0
quiz,automated-refinement,finalAllPassed,10,0,10,100.0
quiz,automated-refinement,finalFunctionalPassed,10,0,10,100.0
quiz,automated-refinement,finalRuntimePassed,10,0,10,100.0
quiz,automated-refinement,finalStaticPassed,10,0,10,100.0
booking,one-shot,finalAccessibilityPassed,0,10,10,0.0
booking,one-shot,finalAllPassed,0,10,10,0.0
booking,one-shot,finalFunctionalPassed,9,1,10,90.0
booking,one-shot,finalRuntimePassed,10,0,10,100.0
booking,one-shot,finalStaticPassed,0,10,10,0.0
booking,quality-focused,finalAccessibilityPassed,10,0,10,100.0
booking,quality-focused,finalAllPassed,2,8,10,20.0
booking,quality-focused,finalFunctionalPassed,9,1,10,90.0
booking,quality-focused,finalRuntimePassed,10,0,10,100.0
booking,quality-focused,finalStaticPassed,2,8,10,20.0
booking,automated-refinement,finalAccessibilityPassed,10,0,10,100.0
booking,automated-refinement,finalAllPassed,10,0,10,100.0
booking,automated-refinement,finalFunctionalPassed,10,0,10,100.0
booking,automated-refinement,finalRuntimePassed,10,0,10,100.0
booking,automated-refinement,finalStaticPassed,10,0,10,100.0
