workflow,outcome,passed,failed,total,percentagePassed
automated-refinement,finalAllPassed,30,0,30,100.0
automated-refinement,finalStaticPassed,30,0,30,100.0
automated-refinement,finalRuntimePassed,30,0,30,100.0
automated-refinement,finalAccessibilityPassed,30,0,30,100.0
automated-refinement,finalFunctionalPassed,30,0,30,100.0
one-shot,finalAllPassed,2,28,30,6.666666666666667
one-shot,finalStaticPassed,14,16,30,46.666666666666664
one-shot,finalRuntimePassed,30,0,30,100.0
one-shot,finalAccessibilityPassed,3,27,30,10.0
one-shot,finalFunctionalPassed,29,1,30,96.66666666666667
quality-focused,finalAllPassed,19,11,30,63.33333333333333
quality-focused,finalStaticPassed,20,10,30,66.66666666666666
quality-focused,finalRuntimePassed,29,1,30,96.66666666666667
quality-focused,finalAccessibilityPassed,30,0,30,100.0
quality-focused,finalFunctionalPassed,27,3,30,90.0
