column,blankCount,zeroStringCount,nonBlankCount,uniqueNonBlankValues
experimentId,0,0,90,1
experimentRunId,0,0,90,90
sequence,0,0,90,90
specificationId,0,0,90,3
specificationName,0,0,90,3
workflow,0,0,90,3
repetition,0,0,90,10
status,0,0,90,1
resultClassification,0,0,90,2
failureType,90,0,0,0
failureStage,90,0,0,0
error,90,0,0,0
attemptCount,0,0,90,1
startedAt,0,0,90,90
completedAt,0,0,90,90
runId,0,0,90,90
provider,0,0,90,1
model,0,0,90,1
temperature,0,90,90,1
promptVersion,0,0,90,1
runOrder,0,0,90,1
randomSeed,0,0,90,1
workflowDurationMs,0,0,90,90
aiGenerationDurationMs,0,0,90,89
refinementIterations,0,61,90,3
converged,60,0,30,1
stopReason,0,0,90,2
totalPromptTokens,0,0,90,35
totalOutputTokens,0,0,90,89
totalTokens,0,0,90,87
initialStaticPassed,0,0,90,2
initialRuntimePassed,0,0,90,2
initialAccessibilityPassed,0,0,90,2
initialFunctionalPassed,0,0,90,2
initialAllPassed,0,0,90,2
initialStaticTotalIssues,0,42,90,5
initialStaticErrors,0,45,90,4
initialStaticWarnings,0,74,90,2
initialRuntimeConsoleErrors,0,90,90,1
initialRuntimeUncaughtExceptions,0,89,90,2
initialRequiredControlsPresent,0,0,90,1
initialRequiredControlsExpected,0,0,90,1
initialAccessibilityViolations,0,38,90,3
initialAccessibilityViolatingNodes,0,38,90,11
initialAccessibilityCritical,0,90,90,1
initialAccessibilitySerious,0,38,90,3
initialAccessibilityModerate,0,90,90,1
initialAccessibilityMinor,0,90,90,1
initialAccessibilityIncomplete,0,29,90,3
initialFunctionalPassedTests,0,0,90,7
initialFunctionalFailedTests,0,85,90,5
initialFunctionalTotalTests,0,0,90,3
finalStaticPassed,0,0,90,2
finalRuntimePassed,0,0,90,2
finalAccessibilityPassed,0,0,90,2
finalFunctionalPassed,0,0,90,2
finalAllPassed,0,0,90,2
finalStaticTotalIssues,0,62,90,5
finalStaticErrors,0,64,90,4
finalStaticWarnings,0,81,90,2
finalRuntimeConsoleErrors,0,90,90,1
finalRuntimeUncaughtExceptions,0,89,90,2
finalRequiredControlsPresent,0,0,90,1
finalRequiredControlsExpected,0,0,90,1
finalAccessibilityViolations,0,63,90,3
finalAccessibilityViolatingNodes,0,63,90,11
finalAccessibilityCritical,0,90,90,1
finalAccessibilitySerious,0,63,90,3
finalAccessibilityModerate,0,90,90,1
finalAccessibilityMinor,0,90,90,1
finalAccessibilityIncomplete,0,29,90,3
finalFunctionalPassedTests,0,0,90,7
finalFunctionalFailedTests,0,86,90,5
finalFunctionalTotalTests,0,0,90,3
staticIssueChange,0,70,90,5
accessibilityViolationChange,0,65,90,3
functionalFailedTestChange,0,89,90,2
iterationMetrics,0,0,90,90
responseFile,0,0,90,90
