column,minimum,maximum,uniqueValues,missingAfterNumericConversion,zeroCount,negativeCount
sequence,1,90,90,0,0,0
repetition,1,10,10,0,0,0
attemptCount,1,1,1,0,0,0
randomSeed,77077,77077,1,0,0,0
workflowDurationMs,17882,102675,90,0,0,0
aiGenerationDurationMs,15604,95302,89,0,0,0
refinementIterations,0,2,3,0,61,0
totalPromptTokens,734,11581,35,0,0,0
totalOutputTokens,2059,10915,89,0,0,0
totalTokens,2802,22496,87,0,0,0
initialStaticTotalIssues,0,4,5,0,42,0
initialStaticErrors,0,3,4,0,45,0
initialStaticWarnings,0,1,2,0,74,0
initialRuntimeConsoleErrors,0,0,1,0,90,0
initialRuntimeUncaughtExceptions,0,1,2,0,89,0
initialRequiredControlsPresent,2,2,1,0,0,0
initialRequiredControlsExpected,2,2,1,0,0,0
initialAccessibilityViolations,0,2,3,0,38,0
initialAccessibilityViolatingNodes,0,13,11,0,38,0
initialAccessibilityCritical,0,0,1,0,90,0
initialAccessibilitySerious,0,2,3,0,38,0
initialAccessibilityModerate,0,0,1,0,90,0
initialAccessibilityMinor,0,0,1,0,90,0
initialAccessibilityIncomplete,0,2,3,0,29,0
initialFunctionalPassedTests,1,9,7,0,0,0
initialFunctionalFailedTests,0,5,5,0,85,0
initialFunctionalTotalTests,6,9,3,0,0,0
finalStaticTotalIssues,0,4,5,0,62,0
finalStaticErrors,0,3,4,0,64,0
finalStaticWarnings,0,1,2,0,81,0
finalRuntimeConsoleErrors,0,0,1,0,90,0
finalRuntimeUncaughtExceptions,0,1,2,0,89,0
finalRequiredControlsPresent,2,2,1,0,0,0
finalRequiredControlsExpected,2,2,1,0,0,0
finalAccessibilityViolations,0,2,3,0,63,0
finalAccessibilityViolatingNodes,0,13,11,0,63,0
finalAccessibilityCritical,0,0,1,0,90,0
finalAccessibilitySerious,0,2,3,0,63,0
finalAccessibilityModerate,0,0,1,0,90,0
finalAccessibilityMinor,0,0,1,0,90,0
finalAccessibilityIncomplete,0,2,3,0,29,0
finalFunctionalPassedTests,1,9,7,0,0,0
finalFunctionalFailedTests,0,5,5,0,86,0
finalFunctionalTotalTests,6,9,3,0,0,0
staticIssueChange,-4,0,5,0,70,20
accessibilityViolationChange,-2,0,3,0,65,25
functionalFailedTestChange,-1,0,2,0,89,1
temperature,0,0,1,0,90,0
