workflow,outcome,n,missing,mean,standardDeviation,median,q1,q3,iqr,minimum,maximum
one-shot,aiGenerationDurationMs,30,0,25235.233333333334,9890.911476715879,23721.5,18501.75,27820.25,9318.5,15604,55982
one-shot,pipelineOverheadMs,30,0,3597.0,2233.6876267269568,3121.5,2636.25,3628.5,992.25,2116,14937
one-shot,totalOutputTokens,30,0,2906.866666666667,402.8976710448117,2757.0,2641.0,3203.0,562.0,2059,3969
one-shot,totalPromptTokens,30,0,757.6666666666666,27.82126863580716,743.0,734.0,796.0,62.0,734,796
one-shot,totalTokens,30,0,3664.5333333333333,426.6172259429574,3495.5,3381.0,3999.0,618.0,2802,4765
one-shot,workflowDurationMs,30,0,28832.233333333334,10332.942928535307,27321.0,21360.0,31480.75,10120.75,18208,60445
quality-focused,aiGenerationDurationMs,30,0,24912.6,15308.457091560138,19957.0,18959.25,24589.0,5629.75,15660,95302
quality-focused,pipelineOverheadMs,30,0,2767.8333333333335,2712.5253799331736,2172.5,2065.75,2404.75,339.0,1939,16937
quality-focused,totalOutputTokens,30,0,2840.133333333333,304.96147109196386,2792.5,2668.0,3038.75,370.75,2065,3468
quality-focused,totalPromptTokens,30,0,920.6666666666666,27.82126863580716,906.0,897.0,959.0,62.0,897,959
quality-focused,totalTokens,30,0,3760.8,326.18351086255217,3689.5,3574.0,3997.75,423.75,2971,4427
quality-focused,workflowDurationMs,30,0,27680.433333333334,15461.41075930059,22050.0,20963.5,27668.75,6705.25,17882,97829
automated-refinement,aiGenerationDurationMs,30,0,47735.833333333336,13096.368378119269,46899.5,36917.75,54265.25,17347.5,27947,80485
automated-refinement,pipelineOverheadMs,30,0,7318.433333333333,3241.631971743536,7097.0,5681.25,7912.75,2231.5,4397,22190
automated-refinement,totalOutputTokens,30,0,6357.533333333334,1577.2890040505738,5805.5,5434.25,7192.0,1757.75,2822,10915
automated-refinement,totalPromptTokens,30,0,6146.633333333333,2216.480644428558,5255.0,4985.0,6253.75,1268.75,734,11581
automated-refinement,totalTokens,30,0,12504.166666666666,3755.3596648848,10925.0,10435.25,13422.75,2987.5,3556,22496
automated-refinement,workflowDurationMs,30,0,55054.26666666667,15150.367039899666,54094.5,43749.75,61384.0,17634.25,32344,102675
